,pid,user,date
92,10589387,retronym,2013-12-06T11:17:11Z
93,10587633,retronym,2013-12-06T10:04:43Z
94,10559323,ziggystar,2013-12-05T16:16:57Z
95,10529117,som-snytt,2013-12-04T20:29:20Z
96,10520458,soc,2013-12-04T16:56:38Z
97,10516285,retronym,2013-12-04T15:18:15Z
98,10508296,skyluc,2013-12-04T10:52:44Z
99,10502802,adriaanm,2013-12-04T06:44:30Z
100,10500020,soc,2013-12-04T03:20:12Z
101,10497926,soc,2013-12-04T01:30:30Z
102,10497184,som-snytt,2013-12-04T01:00:43Z
103,10481870,retronym,2013-12-03T18:00:30Z
104,10471897,xeno-by,2013-12-03T13:53:42Z
105,10469923,retronym,2013-12-03T12:43:38Z
106,10467358,retronym,2013-12-03T11:07:40Z
107,10453086,Ichoran,2013-12-02T23:07:29Z
108,10445882,retronym,2013-12-02T19:48:51Z
109,10439771,densh,2013-12-02T17:00:47Z
110,10435665,dotta,2013-12-02T15:19:02Z
111,10428173,dotta,2013-12-02T10:54:10Z
112,10426193,dotta,2013-12-02T09:43:22Z
113,10416014,retronym,2013-12-01T15:09:26Z
114,10402514,soc,2013-11-29T18:28:48Z
115,10397022,rtyley,2013-11-29T14:33:18Z
116,10390991,retronym,2013-11-29T10:21:25Z
117,10381114,retronym,2013-11-28T19:53:36Z
118,10378187,adriaanm,2013-11-28T16:59:04Z
119,10343186,retronym,2013-11-27T16:10:17Z
120,10341071,retronym,2013-11-27T15:16:58Z
121,10324002,adriaanm,2013-11-27T01:55:57Z
122,10314029,retronym,2013-11-26T20:23:43Z
123,10308946,retronym,2013-11-26T18:05:42Z
124,10300209,retronym,2013-11-26T14:32:43Z
125,10296508,retronym,2013-11-26T12:25:07Z
126,10284444,adriaanm,2013-11-26T01:46:23Z
127,10253358,retronym,2013-11-25T09:39:16Z
128,10244931,retronym,2013-11-24T21:29:57Z
129,10242716,sschaef,2013-11-24T15:47:55Z
130,10240715,retronym,2013-11-24T08:19:27Z
131,10238685,sschaef,2013-11-23T23:29:05Z
132,10233995,som-snytt,2013-11-23T08:55:19Z
133,10231920,Blaisorblade,2013-11-23T01:57:39Z
134,10226368,sschaef,2013-11-22T21:51:52Z
135,10226087,retronym,2013-11-22T21:44:31Z
136,10225292,xeno-by,2013-11-22T21:13:57Z
137,10220878,soc,2013-11-22T19:09:02Z
138,10215513,heathermiller,2013-11-22T16:36:29Z
139,10215287,xeno-by,2013-11-22T16:30:41Z
140,10215155,retronym,2013-11-22T16:27:10Z
141,10213080,retronym,2013-11-22T15:36:07Z
142,10207835,dotta,2013-11-22T12:46:19Z
143,10176670,densh,2013-11-21T16:35:53Z
144,10176521,retronym,2013-11-21T16:32:38Z
145,10169005,densh,2013-11-21T13:11:55Z
146,10165049,retronym,2013-11-21T10:42:41Z
147,10161474,retronym,2013-11-21T08:15:36Z
148,10157199,adriaanm,2013-11-21T03:06:27Z
149,10150819,adriaanm,2013-11-20T22:47:50Z
150,10144540,som-snytt,2013-11-20T20:03:38Z
151,10137086,shawjef3,2013-11-20T16:54:19Z
152,10130225,skyluc,2013-11-20T14:03:18Z
153,10124879,skyluc,2013-11-20T10:38:29Z
154,10123031,retronym,2013-11-20T09:32:59Z
155,10121992,awl,2013-11-20T08:49:50Z
156,10120652,adriaanm,2013-11-20T07:30:43Z
157,10105530,retronym,2013-11-19T20:39:35Z
158,10104964,retronym,2013-11-19T20:24:01Z
159,10103431,retronym,2013-11-19T19:46:07Z
160,10101096,JamesIry,2013-11-19T18:49:23Z
161,10087997,huitseeker,2013-11-19T13:21:10Z
162,10086891,dotta,2013-11-19T12:39:35Z
163,10060979,JamesIry,2013-11-18T19:01:58Z
164,10059892,huitseeker,2013-11-18T18:32:26Z
165,10056221,huitseeker,2013-11-18T16:53:01Z
166,10053635,misfo,2013-11-18T15:51:19Z
167,10040564,paulp,2013-11-18T07:50:13Z
168,10036931,xuwei-k,2013-11-18T02:30:19Z
169,10035256,adriaanm,2013-11-17T23:02:28Z
170,10029088,soc,2013-11-17T02:59:09Z
171,10020483,soc,2013-11-16T00:50:59Z
172,10011783,som-snytt,2013-11-15T19:42:22Z
173,9992850,ziggystar,2013-11-15T09:12:14Z
174,9992325,dotta,2013-11-15T08:47:32Z
175,9990916,xuwei-k,2013-11-15T07:25:28Z
176,9973213,retronym,2013-11-14T19:08:27Z
177,9967552,skyluc,2013-11-14T16:37:42Z
178,9967194,soc,2013-11-14T16:29:58Z
179,9962755,skyluc,2013-11-14T14:41:31Z
180,9962665,dotta,2013-11-14T14:39:06Z
181,9961461,densh,2013-11-14T14:02:23Z
182,9957036,xeno-by,2013-11-14T11:17:30Z
183,9956879,dotta,2013-11-14T11:11:09Z
184,9953183,adriaanm,2013-11-14T08:42:30Z
185,9941173,xeno-by,2013-11-13T22:21:20Z
186,9935958,adriaanm,2013-11-13T20:05:36Z
187,9930273,adriaanm,2013-11-13T17:33:53Z
188,9922945,densh,2013-11-13T14:35:17Z
189,9915364,retronym,2013-11-13T10:02:59Z
190,9868001,adriaanm,2013-11-12T02:14:03Z
191,9867514,adriaanm,2013-11-12T01:45:18Z
192,9857467,RajivKurian,2013-11-11T20:04:02Z
193,9856458,soc,2013-11-11T19:37:08Z
194,9843769,DarkDimius,2013-11-11T13:24:53Z
195,9834268,som-snytt,2013-11-11T04:04:07Z
196,9834163,SethTisue,2013-11-11T03:53:41Z
197,9832602,rjfwhite,2013-11-11T01:01:24Z
198,9832588,som-snytt,2013-11-11T00:59:26Z
199,9831868,Ichoran,2013-11-10T23:20:29Z
200,9831659,densh,2013-11-10T22:55:59Z
201,9828084,retronym,2013-11-10T14:01:34Z
202,9827760,retronym,2013-11-10T12:48:49Z
203,9827555,paulp,2013-11-10T12:00:06Z
204,9823611,adriaanm,2013-11-09T21:24:12Z
205,9823017,adriaanm,2013-11-09T19:52:07Z
206,9816955,adriaanm,2013-11-09T01:43:51Z
207,9798228,phaller,2013-11-08T15:24:16Z
208,9787411,xeno-by,2013-11-08T08:14:00Z
209,9787322,adriaanm,2013-11-08T08:08:08Z
210,9784731,adriaanm,2013-11-08T04:43:21Z
211,9762364,szeiger,2013-11-07T16:10:00Z
212,9728970,adriaanm,2013-11-06T18:25:26Z
213,9721828,retronym,2013-11-06T15:31:41Z
214,9711649,dotta,2013-11-06T09:31:20Z
215,9706099,Ichoran,2013-11-06T03:09:51Z
216,9685569,VladUreche,2013-11-05T16:31:50Z
217,9682235,xeno-by,2013-11-05T15:16:01Z
218,9671866,som-snytt,2013-11-05T09:14:45Z
219,9664647,yinxusen,2013-11-05T01:07:06Z
220,9664322,paulp,2013-11-05T00:53:22Z
221,9594197,retronym,2013-11-01T10:54:18Z
222,9583926,retronym,2013-10-31T22:35:40Z
223,9572231,paulp,2013-10-31T17:15:46Z
224,9570258,retronym,2013-10-31T16:26:10Z
225,9563679,retronym,2013-10-31T13:40:45Z
226,9560347,densh,2013-10-31T11:32:24Z
227,9559399,retronym,2013-10-31T10:55:01Z
228,9535726,retronym,2013-10-30T17:54:07Z
229,9474005,adriaanm,2013-10-29T02:20:35Z
230,9465880,axel22,2013-10-28T20:49:52Z
231,9447219,axel22,2013-10-28T12:20:39Z
232,9446820,retronym,2013-10-28T12:03:03Z
233,9444934,retronym,2013-10-28T10:44:52Z
234,9442253,retronym,2013-10-28T08:46:32Z
235,9439837,JamesIry,2013-10-28T05:26:24Z
236,9431972,retronym,2013-10-27T08:56:55Z
237,9371369,jamesward,2013-10-24T15:32:57Z
238,9364211,retronym,2013-10-24T12:00:30Z
239,9361456,retronym,2013-10-24T10:12:02Z
240,9349877,soc,2013-10-23T22:55:17Z
241,9341649,adriaanm,2013-10-23T18:57:21Z
242,9325863,Jentsch,2013-10-23T11:25:32Z
243,9323594,retronym,2013-10-23T09:50:16Z
244,9320956,retronym,2013-10-23T08:02:02Z
245,9313635,xeno-by,2013-10-22T23:30:38Z
246,9313183,xeno-by,2013-10-22T23:13:08Z
247,9276314,adriaanm,2013-10-21T23:29:19Z
248,9271834,retronym,2013-10-21T21:04:17Z
249,9252328,retronym,2013-10-21T11:39:52Z
250,9251787,retronym,2013-10-21T11:16:48Z
251,9246681,retronym,2013-10-21T07:34:50Z
252,9239297,retronym,2013-10-20T16:22:50Z
253,9238504,s4504kr,2013-10-20T14:15:58Z
254,9238046,xeno-by,2013-10-20T12:34:59Z
255,9236750,retronym,2013-10-20T07:05:24Z
256,9234646,harrah,2013-10-19T22:17:51Z
257,9233201,densh,2013-10-19T18:22:29Z
258,9231532,qerub,2013-10-19T13:43:44Z
259,9230698,xeno-by,2013-10-19T10:13:29Z
260,9229988,xeno-by,2013-10-19T07:25:16Z
261,9225605,Jentsch,2013-10-18T22:31:45Z
262,9224432,xeno-by,2013-10-18T21:47:52Z
263,9220893,som-snytt,2013-10-18T19:53:39Z
264,9217784,som-snytt,2013-10-18T18:19:26Z
265,9209655,retronym,2013-10-18T14:19:34Z
266,9205427,retronym,2013-10-18T11:41:11Z
267,9182825,adriaanm,2013-10-17T18:02:48Z
268,9181143,xeno-by,2013-10-17T17:13:25Z
269,9170994,retronym,2013-10-17T12:25:53Z
270,9170080,retronym,2013-10-17T11:49:37Z
271,9170075,retronym,2013-10-17T11:49:14Z
272,9164692,retronym,2013-10-17T08:08:32Z
273,9142062,gourlaysama,2013-10-16T16:09:09Z
274,9118985,gkossakowski,2013-10-15T22:28:13Z
275,9100300,xeno-by,2013-10-15T13:38:46Z
276,9094436,huitseeker,2013-10-15T09:44:49Z
277,9060837,retronym,2013-10-14T08:01:07Z
278,9056465,gkossakowski,2013-10-13T22:18:22Z
279,9056182,paulp,2013-10-13T21:36:19Z
280,9054428,paulp,2013-10-13T16:53:56Z
281,9049865,retronym,2013-10-12T21:45:16Z
282,9048456,paulp,2013-10-12T17:23:15Z
283,9026446,retronym,2013-10-11T14:38:01Z
284,9024908,retronym,2013-10-11T13:51:23Z
285,9020856,xeno-by,2013-10-11T11:04:17Z
286,9020807,xeno-by,2013-10-11T11:01:48Z
287,8998375,sreerambala,2013-10-10T17:43:25Z
288,8984628,etaty,2013-10-10T10:29:24Z
289,8954871,retronym,2013-10-09T14:25:12Z
290,8949871,retronym,2013-10-09T11:31:10Z
291,8947837,retronym,2013-10-09T10:00:02Z
292,8915888,dragos,2013-10-08T12:54:14Z
293,8899075,retronym,2013-10-07T21:49:03Z
294,8864560,paulp,2013-10-06T01:16:59Z
295,8864226,paulp,2013-10-05T23:47:20Z
296,8862976,paulp,2013-10-05T19:37:34Z
297,8848024,adriaanm,2013-10-04T18:05:53Z
298,8832528,xeno-by,2013-10-04T08:13:22Z
299,8815517,sschaef,2013-10-03T18:00:38Z
300,8805076,ceedubs,2013-10-03T12:40:17Z
301,8799645,retronym,2013-10-03T07:51:49Z
302,8775482,retronym,2013-10-02T14:50:45Z
303,8771412,retronym,2013-10-02T12:45:18Z
304,8745521,adriaanm,2013-10-01T16:37:06Z
305,8743153,retronym,2013-10-01T15:34:21Z
306,8742355,densh,2013-10-01T15:14:21Z
307,8724736,ivmaykov,2013-10-01T00:04:35Z
308,8716112,paulp,2013-09-30T19:16:12Z
309,8685830,paulp,2013-09-28T21:08:08Z
310,8683820,paulp,2013-09-28T15:15:38Z
311,8679302,adriaanm,2013-09-27T23:36:30Z
312,8675916,xeno-by,2013-09-27T21:10:29Z
313,8675340,paulp,2013-09-27T20:51:27Z
314,8655718,retronym,2013-09-27T09:08:47Z
315,8653796,paulp,2013-09-27T07:29:11Z
316,8653508,retronym,2013-09-27T07:10:43Z
317,8649701,paulp,2013-09-27T01:32:48Z
318,8649208,paulp,2013-09-27T00:56:21Z
319,8638474,xeno-by,2013-09-26T18:35:31Z
320,8637907,xeno-by,2013-09-26T18:18:47Z
321,8634409,retronym,2013-09-26T16:33:32Z
322,8630161,xeno-by,2013-09-26T14:40:00Z
323,8622974,retronym,2013-09-26T10:12:48Z
324,8609013,som-snytt,2013-09-25T21:07:22Z
325,8606325,sschaef,2013-09-25T19:51:59Z
326,8599470,paulp,2013-09-25T16:31:29Z
327,8595729,retronym,2013-09-25T14:52:21Z
328,8595413,retronym,2013-09-25T14:43:22Z
329,8588143,ScrapCodes,2013-09-25T10:09:59Z
330,8565641,retronym,2013-09-24T17:01:26Z
331,8557526,retronym,2013-09-24T13:15:34Z
332,8552821,retronym,2013-09-24T09:54:56Z
333,8552566,huitseeker,2013-09-24T09:44:17Z
334,8529072,retronym,2013-09-23T15:54:22Z
335,8527253,som-snytt,2013-09-23T15:05:41Z
336,8522060,sjrd,2013-09-23T11:57:50Z
337,8519835,retronym,2013-09-23T10:06:43Z
338,8518099,retronym,2013-09-23T08:41:49Z
339,8509122,retronym,2013-09-22T08:34:35Z
340,8507038,sschaef,2013-09-21T22:35:19Z
341,8487896,adriaanm,2013-09-20T16:02:52Z
342,8481622,dragos,2013-09-20T12:30:26Z
343,8481385,dragos,2013-09-20T12:17:12Z
344,8481211,retronym,2013-09-20T12:08:28Z
345,8480921,huitseeker,2013-09-20T11:55:07Z
346,8479647,densh,2013-09-20T10:51:14Z
347,8467760,puffnfresh,2013-09-19T22:00:45Z
348,8451020,retronym,2013-09-19T13:33:46Z
349,8443302,retronym,2013-09-19T07:34:26Z
350,8427781,sjrd,2013-09-18T18:07:52Z
351,8422941,densh,2013-09-18T15:41:05Z
352,8410064,paulp,2013-09-18T07:11:16Z
353,8409272,paulp,2013-09-18T06:16:34Z
354,8408774,paulp,2013-09-18T05:35:18Z
355,8408429,paulp,2013-09-18T05:01:42Z
356,8399011,paulp,2013-09-17T20:37:29Z
357,8397854,som-snytt,2013-09-17T20:04:37Z
358,8394780,retronym,2013-09-17T18:24:47Z
359,8385992,retronym,2013-09-17T14:14:55Z
360,8372012,jiaweihli,2013-09-17T01:18:45Z
361,8366274,som-snytt,2013-09-16T21:09:43Z
362,8347934,retronym,2013-09-16T11:00:12Z
363,8346616,retronym,2013-09-16T09:53:46Z
364,8345127,retronym,2013-09-16T08:34:49Z
365,8344472,retronym,2013-09-16T07:54:07Z
366,8338665,machisuji,2013-09-15T17:41:33Z
367,8338347,jinfu-leng,2013-09-15T16:44:24Z
368,8335666,som-snytt,2013-09-15T05:21:11Z
369,8327225,paulp,2013-09-13T23:03:41Z
370,8318462,som-snytt,2013-09-13T17:40:29Z
371,8305018,retronym,2013-09-13T08:48:59Z
372,8288635,huitseeker,2013-09-12T18:40:28Z
373,8276062,densh,2013-09-12T12:22:13Z
374,8272796,retronym,2013-09-12T09:58:19Z
375,8264579,Ichoran,2013-09-12T00:59:32Z
376,8255539,paulp,2013-09-11T19:21:36Z
377,8249241,paulp,2013-09-11T16:11:22Z
378,8248069,densh,2013-09-11T15:41:35Z
379,8247822,paulp,2013-09-11T15:35:22Z
380,8246367,Blaisorblade,2013-09-11T14:58:22Z
381,8236263,retronym,2013-09-11T08:23:09Z
382,8236232,paulp,2013-09-11T08:21:42Z
383,8235226,retronym,2013-09-11T07:28:07Z
384,8213267,Ichoran,2013-09-10T14:56:04Z
385,8205380,retronym,2013-09-10T09:58:09Z
386,8193213,Ichoran,2013-09-09T21:46:26Z
387,8189689,paulp,2013-09-09T19:57:25Z
388,8175468,retronym,2013-09-09T12:01:06Z
389,8170940,huitseeker,2013-09-09T08:17:25Z
390,8170855,retronym,2013-09-09T08:12:07Z
391,8170850,huitseeker,2013-09-09T08:11:55Z
392,8161201,gkossakowski,2013-09-08T04:41:18Z
393,8161072,gkossakowski,2013-09-08T03:54:28Z
394,8156453,retronym,2013-09-07T09:53:39Z
395,8156451,retronym,2013-09-07T09:53:01Z
396,8143440,som-snytt,2013-09-06T17:13:53Z
397,8140177,retronym,2013-09-06T15:21:29Z
398,8139193,retronym,2013-09-06T14:51:05Z
399,8120659,gkossakowski,2013-09-05T21:37:50Z
400,8112535,huitseeker,2013-09-05T17:18:31Z
401,8108144,retronym,2013-09-05T15:08:06Z
402,8106257,retronym,2013-09-05T14:13:32Z
403,8104219,densh,2013-09-05T13:05:03Z
404,8090231,soc,2013-09-04T22:51:01Z
405,8087153,magarciaEPFL,2013-09-04T21:01:41Z
406,8080765,paulp,2013-09-04T17:40:20Z
407,8074307,retronym,2013-09-04T14:23:08Z
408,8073498,retronym,2013-09-04T13:58:09Z
409,8040770,som-snytt,2013-09-03T13:10:33Z
410,8025907,VladUreche,2013-09-02T17:18:25Z
411,8005072,xeno-by,2013-08-31T19:52:42Z
412,8000266,gkossakowski,2013-08-31T00:20:52Z
413,7989205,nermin,2013-08-30T16:16:53Z
414,7986186,som-snytt,2013-08-30T14:39:01Z
415,7983954,densh,2013-08-30T13:19:36Z
416,7979957,retronym,2013-08-30T09:59:31Z
417,7967709,som-snytt,2013-08-29T21:14:45Z
418,7965450,som-snytt,2013-08-29T20:03:48Z
419,7960924,paulp,2013-08-29T17:38:34Z
420,7958921,adriaanm,2013-08-29T16:31:49Z
421,7954450,retronym,2013-08-29T14:23:59Z
422,7953776,som-snytt,2013-08-29T14:03:55Z
423,7952037,retronym,2013-08-29T13:02:55Z
424,7946451,magarciaEPFL,2013-08-29T08:49:41Z
425,7944032,xeno-by,2013-08-29T06:29:47Z
426,7942714,JamesIry,2013-08-29T04:34:38Z
427,7933773,gkossakowski,2013-08-28T20:35:29Z
428,7927400,som-snytt,2013-08-28T17:08:01Z
429,7924661,retronym,2013-08-28T15:44:32Z
430,7896506,retronym,2013-08-27T18:12:03Z
431,7894506,adriaanm,2013-08-27T17:05:30Z
432,7894237,adriaanm,2013-08-27T16:57:09Z
433,7890372,huitseeker,2013-08-27T15:01:37Z
434,7889551,retronym,2013-08-27T14:39:15Z
435,7864247,JamesIry,2013-08-26T18:02:10Z
436,7856385,som-snytt,2013-08-26T13:14:07Z
437,7853661,retronym,2013-08-26T10:34:23Z
438,7845344,paulp,2013-08-25T17:08:18Z
439,7840563,paulp,2013-08-24T18:21:22Z
440,7839918,jamesward,2013-08-24T16:14:01Z
441,7819705,retronym,2013-08-23T13:17:53Z
442,7814932,retronym,2013-08-23T09:17:57Z
443,7813330,som-snytt,2013-08-23T07:46:18Z
444,7813185,retronym,2013-08-23T07:36:13Z
445,7813062,mmorearty,2013-08-23T07:28:57Z
446,7812902,retronym,2013-08-23T07:17:20Z
447,7812612,folone,2013-08-23T06:56:52Z
448,7786134,retronym,2013-08-22T10:53:21Z
449,7769136,magarciaEPFL,2013-08-21T19:31:34Z
450,7767174,adriaanm,2013-08-21T18:30:39Z
451,7754096,densh,2013-08-21T10:49:45Z
452,7753169,retronym,2013-08-21T10:07:21Z
453,7745709,som-snytt,2013-08-21T01:10:54Z
454,7733996,Debilski,2013-08-20T17:47:41Z
455,7723674,magarciaEPFL,2013-08-20T11:47:56Z
456,7722156,densh,2013-08-20T10:28:08Z
457,7705224,adriaanm,2013-08-19T18:48:30Z
458,7697572,som-snytt,2013-08-19T14:29:16Z
459,7690362,retronym,2013-08-19T08:58:30Z
460,7689955,retronym,2013-08-19T08:37:19Z
461,7685020,adriaanm,2013-08-18T23:07:10Z
462,7683059,gourlaysama,2013-08-18T15:59:59Z
463,7681863,retronym,2013-08-18T10:46:47Z
464,7678660,paulp,2013-08-17T17:59:54Z
465,7677783,retronym,2013-08-17T14:52:23Z
466,7671758,xeno-by,2013-08-16T21:39:00Z
467,7669496,soc,2013-08-16T20:07:23Z
468,7666395,gkossakowski,2013-08-16T18:14:40Z
469,7664971,xeno-by,2013-08-16T17:20:43Z
470,7663256,retronym,2013-08-16T16:13:20Z
471,7662447,gourlaysama,2013-08-16T15:45:05Z
472,7658271,retronym,2013-08-16T12:54:43Z
473,7655584,densh,2013-08-16T10:24:17Z
474,7655400,retronym,2013-08-16T10:13:35Z
475,7648038,soc,2013-08-16T00:18:48Z
476,7647803,soc,2013-08-16T00:03:17Z
477,7645524,paulp,2013-08-15T22:14:56Z
478,7624073,retronym,2013-08-15T06:35:14Z
479,7620089,adriaanm,2013-08-15T00:16:52Z
480,7609740,paulp,2013-08-14T18:06:01Z
481,7599776,soc,2013-08-14T12:41:52Z
482,7596435,densh,2013-08-14T09:57:19Z
483,7586068,adriaanm,2013-08-13T22:17:25Z
484,7577036,adriaanm,2013-08-13T17:17:13Z
485,7569588,retronym,2013-08-13T13:17:22Z
486,7564256,retronym,2013-08-13T08:57:34Z
487,7560020,xeno-by,2013-08-13T03:10:53Z
488,7550360,qerub,2013-08-12T19:19:46Z
489,7550157,som-snytt,2013-08-12T19:13:00Z
490,7536144,xeno-by,2013-08-12T09:52:48Z
491,7533795,xeno-by,2013-08-12T07:35:36Z
492,7529905,gerritjvv,2013-08-11T22:22:00Z
493,7524686,som-snytt,2013-08-10T20:56:39Z
494,7523181,xeno-by,2013-08-10T14:40:39Z
495,7523140,xeno-by,2013-08-10T14:29:45Z
496,7523092,xeno-by,2013-08-10T14:12:30Z
497,7523066,xeno-by,2013-08-10T14:01:00Z
498,7523038,xeno-by,2013-08-10T13:55:36Z
499,7523024,xeno-by,2013-08-10T13:53:13Z
500,7522963,xeno-by,2013-08-10T13:33:46Z
501,7522925,xeno-by,2013-08-10T13:16:48Z
502,7522883,xeno-by,2013-08-10T13:07:07Z
503,7503881,xeno-by,2013-08-09T13:03:19Z
504,7502960,densh,2013-08-09T12:14:14Z
505,7496049,som-snytt,2013-08-09T03:39:41Z
506,7486271,adriaanm,2013-08-08T19:20:34Z
507,7486010,adriaanm,2013-08-08T19:11:21Z
508,7485932,adriaanm,2013-08-08T19:08:22Z
509,7485711,adriaanm,2013-08-08T19:00:32Z
510,7485655,adriaanm,2013-08-08T18:58:49Z
511,7485160,paulp,2013-08-08T18:42:27Z
512,7441516,densh,2013-08-07T10:17:39Z
513,7432118,adriaanm,2013-08-06T23:18:31Z
514,7423382,som-snytt,2013-08-06T18:09:08Z
515,7404106,paulp,2013-08-06T01:24:40Z
516,7403035,adriaanm,2013-08-06T00:11:36Z
517,7380726,jedesah,2013-08-05T08:00:43Z
518,7378613,jedesah,2013-08-05T04:36:04Z
519,7368890,som-snytt,2013-08-03T08:08:00Z
520,7319796,ScrapCodes,2013-08-01T11:37:28Z
521,7317234,som-snytt,2013-08-01T09:28:07Z
522,7302767,som-snytt,2013-07-31T19:28:55Z
523,7296098,soc,2013-07-31T15:50:26Z
524,7289055,ScrapCodes,2013-07-31T11:26:24Z
525,7271876,rjolly,2013-07-30T19:13:53Z
526,7253064,soc,2013-07-30T06:22:12Z
527,7249270,soc,2013-07-30T00:33:44Z
528,7249263,gkossakowski,2013-07-30T00:33:11Z
529,7240959,adriaanm,2013-07-29T19:00:40Z
530,7223573,gkossakowski,2013-07-29T05:00:46Z
531,7220807,lcycon,2013-07-28T21:01:15Z
532,7213861,xuwei-k,2013-07-27T12:18:46Z
533,7213786,xuwei-k,2013-07-27T11:51:59Z
534,7211987,soc,2013-07-27T02:24:24Z
535,7209309,gkossakowski,2013-07-26T22:18:09Z
536,7184724,paulp,2013-07-26T00:15:47Z
537,7179355,adriaanm,2013-07-25T20:34:57Z
